Name #cities Type Bounds
a280 280 EUC_2D 2579
ali535 535 GEO 202310
att48 48 ATT 10628
att532 532 ATT 27686
bayg29 29 GEO 1610
bays29 29 GEO 2020
berlin52 52 EUC_2D 7542
bier127 127 EUC_2D 118282
brazil58 58 MATRIX 25395
brd14051 14051 EUC_2D [468942,469445]
brg180 180 MATRIX 1950
burma14 14 GEO 3323
ch130 130 EUC_2D 6110
ch150 150 EUC_2D 6528
d198 198 EUC_2D 15780
d493 493 EUC_2D 35002
d657 657 EUC_2D 48912
d1291 1291 EUC_2D 50801
d1655 1655 EUC_2D 62128
d2103 2103 EUC_2D [79952,80450]
d15112 15112 EUC_2D [1564590,1573152]
d18512 18512 EUC_2D [644650,645488]
dantzig42 42 MATRIX 699
dsj1000 1000 CEIL_2D 18659688
eil51 51 EUC_2D 426
eil76 76 EUC_2D 538
eil101 101 EUC_2D 629
fl417 417 EUC_2D 11861
fl1400 1400 EUC_2D 20127
fl1577 1577 EUC_2D [22204,22249]
fl3795 3795 EUC_2D [28723,28772]
fnl4461 4461 EUC_2D 182566
fri26 26 MATRIX 937
gil262 262 EUC_2D 2378
gr17 17 MATRIX 2085
gr21 21 MATRIX 2707
gr24 24 MATRIX 1272
gr48 48 MATRIX 5046
gr96 96 GEO 55209
gr120 120 MATRIX 6942
gr137 137 GEO 69853
gr202 202 GEO 40160
gr229 229 GEO 134602
gr431 431 GEO 171414
gr666 666 GEO 294358
hk48 48 MATRIX 11461
kroA100 100 EUC_2D 21282
kroB100 100 EUC_2D 22141
kroC100 100 EUC_2D 20749
kroD100 100 EUC_2D 21294
kroE100 100 EUC_2D 22068
kroA150 150 EUC_2D 26524
kroB150 150 EUC_2D 26130
kroA200 200 EUC_2D 29368
kroB200 200 EUC_2D 29437
lin105 105 EUC_2D 14379
lin318 318 EUC_2D 42029
linhp318 318 EUC_2D 41345
nrw1379 1379 EUC_2D 56638
p654 654 EUC_2D 34643
pa561 561 MATRIX 2763
pcb442 442 EUC_2D 50778
pcb1173 1173 EUC_2D 56892
pcb3038 3038 EUC_2D 137694
pla7397 7397 CEIL_2D 23260728
pla33810 33810 CEIL_2D [65913275,66116530]
pla85900 85900 CEIL_2D [141904862,142487006]
